CSV Source date,Country,Data as of,Case definition,Number of cases (Cumulative),Number of cases (In past 21 days),Number of deaths (cumulative)
2014-12-03,Guinea,30 November 2014,Confirmed,1929,306,1117
2014-12-03,Guinea,30 November 2014,Probable,210,Not reported,210
2014-12-03,Guinea,30 November 2014,Suspected,25,Not reported,0
2014-12-03,Guinea,30 November 2014,Total,2164,306,1327
2014-12-03,Liberia,28 November 2014,Confirmed,2801,278,Data not available
2014-12-03,Liberia,28 November 2014,Probable,1792,Not reported,Data not available
2014-12-03,Liberia,28 November 2014,Suspected,3042,Not reported,Data not available
2014-12-03,Liberia,28 November 2014,Total,7635,278,3145
2014-12-03,Sierra Leone,30 November 2014,Confirmed,5978,1455,1374
2014-12-03,Sierra Leone,30 November 2014,Probable,79,Not reported,174
2014-12-03,Sierra Leone,30 November 2014,Suspected,1255,Not reported,35
2014-12-03,Sierra Leone,30 November 2014,Total,7312,1455,1583
2014-12-03,All countries,,Total,17111,2039,6055
2014-12-04,Guinea,,2 December 2014,Confirmed,1949,1139
2014-12-04,Guinea,,2 December 2014,Probable,210,210
2014-12-04,Guinea,,2 December 2014,Suspected,27,0
2014-12-04,Guinea,,2 December 2014,Total,2186,1349
2014-12-04,Liberia,,29 November 2014,Confirmed,2805,Not available
2014-12-04,Liberia,,29 November 2014,Probable,1792,Not available
2014-12-04,Liberia,,29 November 2014,Suspected,3053,Not available
2014-12-04,Liberia,,29 November 2014,Total,7650,3155
2014-12-04,Sierra Leone,,1 December 2014,Confirmed,6039,1400
2014-12-04,Sierra Leone,,1 December 2014,Probable,79,174
2014-12-04,Sierra Leone,,1 December 2014,Suspected,1302,35
2014-12-04,Sierra Leone,,1 December 2014,Total,7420,1609
2014-12-04,All countries,,,Total,17256,6113
2014-12-05,Guinea,,3 December 2014,Confirmed,1956,1151
2014-12-05,Guinea,,3 December 2014,Probable,215,215
2014-12-05,Guinea,,3 December 2014,Suspected,21,0
2014-12-05,Guinea,,3 December 2014,Total,2192,1366
2014-12-05,Liberia,,2 December 2014,Confirmed,2824,Not available
2014-12-05,Liberia,,2 December 2014,Probable,1809,Not available
2014-12-05,Liberia,,2 December 2014,Suspected,3057,Not available
2014-12-05,Liberia,,2 December 2014,Total,7690,3161
2014-12-05,Sierra Leone,,3 December 2014,Confirmed,6201,1451
2014-12-05,Sierra Leone,,3 December 2014,Probable,79,174
2014-12-05,Sierra Leone,,3 December 2014,Suspected,1355,35
2014-12-05,Sierra Leone,,3 December 2014,Total,7635,1660
2014-12-05,All countries,,,Total,17517,6187
2014-12-08,Guinea,,6 December 2014,Confirmed,2035,1192
2014-12-08,Guinea,,6 December 2014,Probable,220,220
2014-12-08,Guinea,,6 December 2014,Suspected,28,0
2014-12-08,Guinea,,6 December 2014,Total,2283,1412
2014-12-08,Liberia,,3 December 2014,Confirmed,2830,Not available
2014-12-08,Liberia,,3 December 2014,Probable,1814,Not available
2014-12-08,Liberia,,3 December 2014,Suspected,3075,Not available
2014-12-08,Liberia,,3 December 2014,Total,7719,3177
2014-12-08,Sierra Leone,,6 December 2014,Confirmed,6317,1533
2014-12-08,Sierra Leone,,6 December 2014,Probable,79,174
2014-12-08,Sierra Leone,,6 December 2014,Suspected,1402,35
2014-12-08,Sierra Leone,,6 December 2014,Total,7798,1742
2014-12-08,All countries,,,Total,17800,6331
2014-12-10,Guinea,7 December 2014,Confirmed,2051,321,1207
2014-12-10,Guinea,7 December 2014,Probable,221,13,221
2014-12-10,Guinea,7 December 2014,Suspected,20,177,0
2014-12-10,Guinea,7 December 2014,Total,2292,511,1428
2014-12-10,Liberia,3 December 2014,Confirmed,2830,225,Not reported
2014-12-10,Liberia,3 December 2014,Probable,1814,186,Not reported
2014-12-10,Liberia,3 December 2014,Suspected,3075,441,Not reported
2014-12-10,Liberia,3 December 2014,Total,7719,852,3177
2014-12-10,Sierra Leone,7 December 2014,Confirmed,6375,1319,1559
2014-12-10,Sierra Leone,7 December 2014,Probable,79,0,174
2014-12-10,Sierra Leone,7 December 2014,Suspected,1443,505,35
2014-12-10,Sierra Leone,7 December 2014,Total,7897,1824,1768
2014-12-10,All countries,,Total,17908,3187,6373
2014-12-11,Guinea,,9 December 2014,Confirmed,2081,1225
2014-12-11,Guinea,,9 December 2014,Probable,229,229
2014-12-11,Guinea,,9 December 2014,Suspected,29,0
2014-12-11,Guinea,,9 December 2014,Total,2339,1454
2014-12-11,Liberia,,7 December 2014,Confirmed,2869,Not available
2014-12-11,Liberia,,7 December 2014,Probable,1829,Not available
2014-12-11,Liberia,,7 December 2014,Suspected,3067,Not available
2014-12-11,Liberia,,7 December 2014,Total,7765,3222
2014-12-11,Sierra Leone,,9 December 2014,Confirmed,6457,1648
2014-12-11,Sierra Leone,,9 December 2014,Probable,79,174
2014-12-11,Sierra Leone,,9 December 2014,Suspected,1478,35
2014-12-11,Sierra Leone,,9 December 2014,Total,8014,1857
2014-12-11,All countries,,,Total,18118,6533
2014-12-12,Guinea,,10 December 2014,Confirmed,2096,1233
2014-12-12,Guinea,,10 December 2014,Probable,229,229
2014-12-12,Guinea,,10 December 2014,Suspected,29,0
2014-12-12,Guinea,,10 December 2014,Total,2354,1462
2014-12-12,Liberia,,7 December 2014,Confirmed,2869,Not available
2014-12-12,Liberia,,7 December 2014,Probable,1829,Not available
2014-12-12,Liberia,,7 December 2014,Suspected,3067,Not available
2014-12-12,Liberia,,7 December 2014,Total,7765,3222
