CSV Source date,Country,Data as of,Case definition,Number of cases (Cumulative),Number of cases (In past 21 days),Number of deaths (cumulative)
2015-04-07,All countries,,,Probable,2580,Not available
2015-04-07,All countries,,,Suspected,8141,Not available
2015-04-07,All countries,,,Total,25516,10573
2015-04-08,Guinea,5 April 2015,Confirmed,3089,123,1919
2015-04-08,Guinea,5 April 2015,Probable,414,Not reported.,414
2015-04-08,Guinea,5 April 2015,Suspected,12,Not reported.,Data not available.
2015-04-08,Guinea,5 April 2015,Total,3515,123,2333
2015-04-08,Liberia,5 April 2015,Confirmed,3151,1,Data not available.
2015-04-08,Liberia,5 April 2015,Probable,1879,Not reported.,Data not available.
2015-04-08,Liberia,5 April 2015,Suspected,4832,Not reported.,Data not available.
2015-04-08,Liberia,5 April 2015,Total,9862,1,4408
2015-04-08,Sierra Leone,5 April 2015,Confirmed,8554,67,3465
2015-04-08,Sierra Leone,5 April 2015,Probable,287,Not reported.,208
2015-04-08,Sierra Leone,5 April 2015,Suspected,3297,Not reported.,158
2015-04-08,Sierra Leone,5 April 2015,Total,12138,67,3831
2015-04-08,All countries,5 April 2015,Confirmed,14794,191,Data not available.
2015-04-08,All countries,5 April 2015,Probable,2580,Not reported.,Data not available.
2015-04-08,All countries,5 April 2015,Suspected,8141,Not reported.,Data not available.
2015-04-08,All countries,5 April 2015,Total,25515,191,10572
2015-04-09,Guinea,,7 April 2015,Confirmed,3093,1921
2015-04-09,Guinea,,7 April 2015,Probable,414,414
2015-04-09,Guinea,,7 April 2015,Suspected,8,Not available
2015-04-09,Guinea,,7 April 2015,Total,3515,2335
2015-04-09,Liberia,,5 April 2015,Confirmed,3151,Not available
2015-04-09,Liberia,,5 April 2015,Probable,1879,Not available
2015-04-09,Liberia,,5 April 2015,Suspected,4832,Not available
2015-04-09,Liberia,,5 April 2015,Total,9862,4408
2015-04-09,Sierra Leone,,7 April 2015,Confirmed,8558,3475
2015-04-09,Sierra Leone,,7 April 2015,Probable,287,208
2015-04-09,Sierra Leone,,7 April 2015,Suspected,3310,158
2015-04-09,Sierra Leone,,7 April 2015,Total,12155,3841
2015-04-09,All countries,,,Confirmed,14802,Not available
2015-04-09,All countries,,,Probable,2580,Not available
2015-04-09,All countries,,,Suspected,8150,Not available
2015-04-09,All countries,,,Total,25532,10584
2015-04-10,Guinea,,8 April 2015,Confirmed,3096,1923
2015-04-10,Guinea,,8 April 2015,Probable,414,414
2015-04-10,Guinea,,8 April 2015,Suspected,14,Not available
2015-04-10,Guinea,,8 April 2015,Total,3524,2337
2015-04-10,Liberia,,5 April 2015,Confirmed,3151,Not available
2015-04-10,Liberia,,5 April 2015,Probable,1879,Not available
2015-04-10,Liberia,,5 April 2015,Suspected,4832,Not available
2015-04-10,Liberia,,5 April 2015,Total,9862,4408
2015-04-10,Sierra Leone,,8 April 2015,Confirmed,8559,3476
2015-04-10,Sierra Leone,,8 April 2015,Probable,287,208
2015-04-10,Sierra Leone,,8 April 2015,Suspected,3324,158
2015-04-10,Sierra Leone,,8 April 2015,Total,12170,3842
2015-04-10,All countries,,,Confirmed,14806,Not available
2015-04-10,All countries,,,Probable,2580,Not available
2015-04-10,All countries,,,Suspected,8170,Not available
2015-04-10,All countries,,,Total,25556,10587
2015-04-13,Guinea,,11 April 2015,Confirmed,3112,1928
2015-04-13,Guinea,,11 April 2015,Probable,414,414
2015-04-13,Guinea,,11 April 2015,Suspected,15,Not available
2015-04-13,Guinea,,11 April 2015,Total,3541,2342
2015-04-13,Liberia,,5 April 2015,Confirmed,3151,Not available
2015-04-13,Liberia,,5 April 2015,Probable,1879,Not available
2015-04-13,Liberia,,5 April 2015,Suspected,4832,Not available
2015-04-13,Liberia,,5 April 2015,Total,9862,4408
2015-04-13,Sierra Leone,,10 April 2015,Confirmed,8560,3488
2015-04-13,Sierra Leone,,10 April 2015,Probable,287,208
2015-04-13,Sierra Leone,,10 April 2015,Suspected,3341,158
2015-04-13,Sierra Leone,,10 April 2015,Total,12188,3854
2015-04-13,All countries,,,Confirmed,14823,Not available
2015-04-13,All countries,,,Probable,2580,Not available
2015-04-13,All countries,,,Suspected,8188,Not available
2015-04-13,All countries,,,Total,25591,10604
2015-04-14,Guinea,,12 April 2015,Confirmed,3117,1932
2015-04-14,Guinea,,12 April 2015,Probable,414,414
2015-04-14,Guinea,,12 April 2015,Suspected,17,Not available
2015-04-14,Guinea,,12 April 2015,Total,3548,2346
2015-04-14,Liberia,,5 April 2015,Confirmed,3151,Not available
2015-04-14,Liberia,,5 April 2015,Probable,1879,Not available
2015-04-14,Liberia,,5 April 2015,Suspected,4832,Not available
2015-04-14,Liberia,,5 April 2015,Total,9862,4408
2015-04-14,Sierra Leone,,12 April 2015,Confirmed,8563,3491
2015-04-14,Sierra Leone,,12 April 2015,Probable,287,208
2015-04-14,Sierra Leone,,12 April 2015,Suspected,3351,158
2015-04-14,Sierra Leone,,12 April 2015,Total,12201,3857
2015-04-14,All countries,,,Confirmed,14831,Not available
2015-04-14,All countries,,,Probable,2580,Not available
2015-04-14,All countries,,,Suspected,8200,Not available
2015-04-14,All countries,,,Total,25611,10611
2015-04-15,Guinea,12 April 2015,Confirmed,3117,106,1932
2015-04-15,Guinea,12 April 2015,Probable,414,Not reported.,414
2015-04-15,Guinea,12 April 2015,Suspected,17,Not reported.,Data not available.
2015-04-15,Guinea,12 April 2015,Total,3548,106,2346
2015-04-15,Liberia,11 April 2015,Confirmed,3151,0,Data not available.
2015-04-15,Liberia,11 April 2015,Probable,1879,Not reported.,Data not available.
2015-04-15,Liberia,11 April 2015,Suspected,5012,Not reported.,Data not available.
2015-04-15,Liberia,11 April 2015,Total,10042,0,4486
2015-04-15,Sierra Leone,12 April 2015,Confirmed,8563,43,3491
2015-04-15,Sierra Leone,12 April 2015,Probable,287,Not reported.,208
2015-04-15,Sierra Leone,12 April 2015,Suspected,3351,Not reported.,158
2015-04-15,Sierra Leone,12 April 2015,Total,12201,43,3857
2015-04-15,All countries,,Confirmed,14831,149,Data not available.
2015-04-15,All countries,,Probable,2580,Not reported.,Data not available.
2015-04-15,All countries,,Suspected,8380,Not reported.,Data not available.
2015-04-15,All countries,,Total,25791,149,10689
2015-04-16,Guinea,,14 April 2015,Confirmed,3124,1934
2015-04-16,Guinea,,14 April 2015,Probable,414,414
2015-04-16,Guinea,,14 April 2015,Suspected,28,Not available
2015-04-16,Guinea,,14 April 2015,Total,3566,2348
2015-04-16,Liberia,,11 April 2015,Confirmed,3151,Not available
2015-04-16,Liberia,,11 April 2015,Probable,1879,Not available
2015-04-16,Liberia,,11 April 2015,Suspected,5012,Not available
2015-04-16,Liberia,,11 April 2015,Total,10042,4486
2015-04-16,Sierra Leone,,14 April 2015,Confirmed,8566,3499
2015-04-16,Sierra Leone,,14 April 2015,Probable,287,208
2015-04-16,Sierra Leone,,14 April 2015,Suspected,3370,158
2015-04-16,Sierra Leone,,14 April 2015,Total,12223,3865
2015-04-16,All countries,,,Confirmed,14841,Not available
2015-04-16,All countries,,,Probable,2580,Not available
2015-04-16,All countries,,,Suspected,8410,Not available
2015-04-16,All countries,,,Total,25831,10699
2015-04-17,Guinea,,15 April 2015,Confirmed,3126,1937
2015-04-17,Guinea,,15 April 2015,Probable,414,414
2015-04-17,Guinea,,15 April 2015,Suspected,29,Not available
2015-04-17,Guinea,,15 April 2015,Total,3569,2351
2015-04-17,Liberia,,11 April 2015,Confirmed,3151,Not available
2015-04-17,Liberia,,11 April 2015,Probable,1879,Not available
2015-04-17,Liberia,,11 April 2015,Suspected,5012,Not available
2015-04-17,Liberia,,11 April 2015,Total,10042,4486
2015-04-17,Sierra Leone,,15 April 2015,Confirmed,8569,3499
2015-04-17,Sierra Leone,,15 April 2015,Probable,287,208
2015-04-17,Sierra Leone,,15 April 2015,Suspected,3388,158
2015-04-17,Sierra Leone,,15 April 2015,Total,12244,3865
2015-04-17,All countries,,,Confirmed,14846,Not available
2015-04-17,All countries,,,Probable,2580,Not available
2015-04-17,All countries,,,Suspected,8429,Not available
2015-04-17,All countries,,,Total,25855,10702
2015-04-20,Guinea,,18 April 2015,Confirmed,3133,1942
2015-04-20,Guinea,,18 April 2015,Probable,415,415
2015-04-20,Guinea,,18 April 2015,Suspected,17,Not available
2015-04-20,Guinea,,18 April 2015,Total,3565,2357
2015-04-20,Liberia,,11 April 2015,Confirmed,3151,Not available
2015-04-20,Liberia,,11 April 2015,Probable,1879,Not available
2015-04-20,Liberia,,11 April 2015,Suspected,5012,Not available
2015-04-20,Liberia,,11 April 2015,Total,10042,4486
2015-04-20,Sierra Leone,,17 April 2015,Confirmed,8572,3506
2015-04-20,Sierra Leone,,17 April 2015,Probable,287,208
2015-04-20,Sierra Leone,,17 April 2015,Suspected,3397,158
2015-04-20,Sierra Leone,,17 April 2015,Total,12256,3872
2015-04-20,All countries,,,Confirmed,14856,Not available
2015-04-20,All countries,,,Probable,2581,Not available
2015-04-20,All countries,,,Suspected,8426,Not available
2015-04-20,All countries,,,Total,25863,10715
2015-04-21,Guinea,,19 April 2015,Confirmed,3136,1943
2015-04-21,Guinea,,19 April 2015,Probable,415,415
2015-04-21,Guinea,,19 April 2015,Suspected,14,Not available
2015-04-21,Guinea,,19 April 2015,Total,3565,2358
2015-04-21,Liberia,,11 April 2015,Confirmed,3151,Not available
2015-04-21,Liberia,,11 April 2015,Probable,1879,Not available
2015-04-21,Liberia,,11 April 2015,Suspected,5012,Not available
2015-04-21,Liberia,,11 April 2015,Total,10042,4486
2015-04-21,Sierra Leone,,19 April 2015,Confirmed,8573,3511
2015-04-21,Sierra Leone,,19 April 2015,Probable,287,208
2015-04-21,Sierra Leone,,19 April 2015,Suspected,3405,158
2015-04-21,Sierra Leone,,19 April 2015,Total,12265,3877
2015-04-21,All countries,,,Confirmed,14860,Not available
2015-04-21,All countries,,,Probable,2581,Not available
2015-04-21,All countries,,,Suspected,8431,Not available
2015-04-21,All countries,,,Total,25872,10721
2015-04-22,Guinea,19 April 2015,Confirmed,3136,70,1943
2015-04-22,Guinea,19 April 2015,Probable,415,Not reported.,415
2015-04-22,Guinea,19 April 2015,Suspected,14,Not reported.,Data not available.
2015-04-22,Guinea,19 April 2015,Total,3565,70,2358
2015-04-22,Liberia,19 April 2015,Confirmed,3151,0,Data not available.
2015-04-22,Liberia,19 April 2015,Probable,1879,Not reported.,Data not available.
2015-04-22,Liberia,19 April 2015,Suspected,5182,Not reported.,Data not available.
2015-04-22,Liberia,19 April 2015,Total,10212,0,4573
2015-04-22,Sierra Leone,19 April 2015,Confirmed,8575,30,3511
2015-04-22,Sierra Leone,19 April 2015,Probable,287,Not reported.,208
2015-04-22,Sierra Leone,19 April 2015,Suspected,3405,Not reported.,158
2015-04-22,Sierra Leone,19 April 2015,Total,12267,30,3877
2015-04-22,All countries,19 April 2015,Confirmed,14862,100,Data not available.
2015-04-22,All countries,19 April 2015,Probable,2581,Not reported.,Data not available.
2015-04-22,All countries,19 April 2015,Suspected,8601,Not reported.,Data not available.
2015-04-22,All countries,19 April 2015,Total,26044,100,10808
2015-04-23,Guinea,,21 April 2015,Confirmed,3144,1947
2015-04-23,Guinea,,21 April 2015,Probable,415,415
2015-04-23,Guinea,,21 April 2015,Suspected,9,Not available
2015-04-23,Guinea,,21 April 2015,Total,3568,2362
2015-04-23,Liberia,,19 April 2015,Confirmed,3151,Not available
2015-04-23,Liberia,,19 April 2015,Probable,1879,Not available
2015-04-23,Liberia,,19 April 2015,Suspected,5182,Not available
2015-04-23,Liberia,,19 April 2015,Total,10212,4573
2015-04-23,Sierra Leone,,21 April 2015,Confirmed,8581,3519
2015-04-23,Sierra Leone,,21 April 2015,Probable,287,208
2015-04-23,Sierra Leone,,21 April 2015,Suspected,3426,158
2015-04-23,Sierra Leone,,21 April 2015,Total,12294,3885
2015-04-23,All countries,,,Confirmed,14876,Not available
2015-04-23,All countries,,,Probable,2581,Not available
2015-04-23,All countries,,,Suspected,8617,Not available
2015-04-23,All countries,,,Total,26074,10820
2015-04-24,Guinea,,22 April 2015,Confirmed,3145,1950
2015-04-24,Guinea,,22 April 2015,Probable,415,415
2015-04-24,Guinea,,22 April 2015,Suspected,16,Not available
2015-04-24,Guinea,,22 April 2015,Total,3576,2365
2015-04-24,Liberia,,19 April 2015,Confirmed,3151,Not available
2015-04-24,Liberia,,19 April 2015,Probable,1879,Not available
2015-04-24,Liberia,,19 April 2015,Suspected,5182,Not available
2015-04-24,Liberia,,19 April 2015,Total,10212,4573
2015-04-24,Sierra Leone,,22 April 2015,Confirmed,8584,3520
2015-04-24,Sierra Leone,,22 April 2015,Probable,287,208
2015-04-24,Sierra Leone,,22 April 2015,Suspected,3442,158
2015-04-24,Sierra Leone,,22 April 2015,Total,12313,3886
2015-04-24,All countries,,,Confirmed,14880,Not available
2015-04-24,All countries,,,Probable,2581,Not available
2015-04-24,All countries,,,Suspected,8640,Not available
2015-04-24,All countries,,,Total,26101,10824
2015-04-27,Guinea,,24 April 2015,Confirmed,3154,1959
2015-04-27,Guinea,,24 April 2015,Probable,415,415
2015-04-27,Guinea,,24 April 2015,Suspected,16,Not available
2015-04-27,Guinea,,24 April 2015,Total,3585,2374
2015-04-27,Liberia,,19 April 2015,Confirmed,3151,Not available
2015-04-27,Liberia,,19 April 2015,Probable,1879,Not available
2015-04-27,Liberia,,19 April 2015,Suspected,5182,Not available
2015-04-27,Liberia,,19 April 2015,Total,10212,4573
2015-04-27,Sierra Leone,,25 April 2015,Confirmed,8585,3529
2015-04-27,Sierra Leone,,25 April 2015,Probable,287,208
2015-04-27,Sierra Leone,,25 April 2015,Suspected,3490,158
2015-04-27,Sierra Leone,,25 April 2015,Total,12362,3895
2015-04-27,All countries,,,Confirmed,14890,Not available
2015-04-27,All countries,,,Probable,2581,Not available
2015-04-27,All countries,,,Suspected,8688,Not available
2015-04-27,All countries,,,Total,26159,10842
2015-04-28,Guinea,,26 April 2015,Confirmed,3158,1962
2015-04-28,Guinea,,26 April 2015,Probable,415,415
2015-04-28,Guinea,,26 April 2015,Suspected,11,Not available
2015-04-28,Guinea,,26 April 2015,Total,3584,2377
2015-04-28,Liberia,,23 April 2015,Confirmed,3151,Not available
2015-04-28,Liberia,,23 April 2015,Probable,1879,Not available
2015-04-28,Liberia,,23 April 2015,Suspected,5292,Not available
2015-04-28,Liberia,,23 April 2015,Total,10322,4608
2015-04-28,Sierra Leone,,26 April 2015,Confirmed,8586,3533
2015-04-28,Sierra Leone,,26 April 2015,Probable,287,208
2015-04-28,Sierra Leone,,26 April 2015,Suspected,3498,158
2015-04-28,Sierra Leone,,26 April 2015,Total,12371,3899
2015-04-28,All countries,,,Confirmed,14895,Not available
2015-04-28,All countries,,,Probable,2581,Not available
2015-04-28,All countries,,,Suspected,8801,Not available
2015-04-28,All countries,,,Total,26277,10884
2015-04-29,Guinea,26 April 2015,Confirmed,3158,69,1962
2015-04-29,Guinea,26 April 2015,Probable,415,Not reported.,415
2015-04-29,Guinea,26 April 2015,Suspected,11,Not reported.,Data not available.
2015-04-29,Guinea,26 April 2015,Total,3584,69,2377
2015-04-29,Liberia,23 April 2015,Confirmed,3151,0,Data not available.
2015-04-29,Liberia,23 April 2015,Probable,1879,Not reported.,Data not available.
2015-04-29,Liberia,23 April 2015,Suspected,5292,Not reported.,Data not available.
2015-04-29,Liberia,23 April 2015,Total,10322,0,4608
2015-04-29,Sierra Leone,26 April 2015,Confirmed,8586,32,3533
2015-04-29,Sierra Leone,26 April 2015,Probable,287,Not reported.,208
2015-04-29,Sierra Leone,26 April 2015,Suspected,3498,Not reported.,158
2015-04-29,Sierra Leone,26 April 2015,Total,12371,32,3899
2015-04-29,All countries,,Confirmed,14895,101,Data not available.
2015-04-29,All countries,,Probable,2581,Not reported.,Data not available.
2015-04-29,All countries,,Suspected,8801,Not reported.,Data not available.
2015-04-29,All countries,,Total,26277,101,10884
2015-04-30,Guinea,,28 April 2015,Confirmed,3159,1966
2015-04-30,Guinea,,28 April 2015,Probable,415,415
2015-04-30,Guinea,,28 April 2015,Suspected,7,Not available
2015-04-30,Guinea,,28 April 2015,Total,3581,2381
2015-04-30,Liberia,,23 April 2015,Confirmed,3151,Not available
2015-04-30,Liberia,,23 April 2015,Probable,1879,Not available
2015-04-30,Liberia,,23 April 2015,Suspected,5292,Not available
2015-04-30,Liberia,,23 April 2015,Total,10322,4608
2015-04-30,Sierra Leone,,28 April 2015,Confirmed,8588,3535
2015-04-30,Sierra Leone,,28 April 2015,Probable,287,208
2015-04-30,Sierra Leone,,28 April 2015,Suspected,3512,158
2015-04-30,Sierra Leone,,28 April 2015,Total,12387,3901
2015-04-30,All countries,,,Confirmed,14898,Not available
2015-04-30,All countries,,,Probable,2581,Not available
2015-04-30,All countries,,,Suspected,8811,Not available
2015-04-30,All countries,,,Total,26290,10890
2015-05-01,Guinea,,29 April 2015,Confirmed,3161,1968
2015-05-01,Guinea,,29 April 2015,Probable,415,415
2015-05-01,Guinea,,29 April 2015,Suspected,2,Not available
2015-05-01,Guinea,,29 April 2015,Total,3578,2383
2015-05-01,Liberia,,23 April 2015,Confirmed,3151,Not available
2015-05-01,Liberia,,23 April 2015,Probable,1879,Not available
2015-05-01,Liberia,,23 April 2015,Suspected,5292,Not available
2015-05-01,Liberia,,23 April 2015,Total,10322,4608
2015-05-01,Sierra Leone,,29 April 2015,Confirmed,8590,3535
2015-05-01,Sierra Leone,,29 April 2015,Probable,287,208
2015-05-01,Sierra Leone,,29 April 2015,Suspected,3521,158
2015-05-01,Sierra Leone,,29 April 2015,Total,12398,3901
2015-05-01,All countries,,,Confirmed,14902,Not available
2015-05-01,All countries,,,Probable,2581,Not available
2015-05-01,All countries,,,Suspected,8815,Not available
2015-05-01,All countries,,,Total,26298,10892
2015-05-04,Guinea,,2 May 2015,Confirmed,3163,1970
2015-05-04,Guinea,,2 May 2015,Probable,415,415
2015-05-04,Guinea,,2 May 2015,Suspected,13,Not available
2015-05-04,Guinea,,2 May 2015,Total,3591,2385
2015-05-04,Liberia,,23 April 2015,Confirmed,3151,Not available
2015-05-04,Liberia,,23 April 2015,Probable,1879,Not available
2015-05-04,Liberia,,23 April 2015,Suspected,5292,Not available
2015-05-04,Liberia,,23 April 2015,Total,10322,4608
2015-05-04,Sierra Leone,,2 May 2015,Confirmed,8592,3536
2015-05-04,Sierra Leone,,2 May 2015,Probable,287,208
2015-05-04,Sierra Leone,,2 May 2015,Suspected,3547,158
2015-05-04,Sierra Leone,,2 May 2015,Total,12426,3902
2015-05-04,All countries,,,Confirmed,14906,Not available
2015-05-04,All countries,,,Probable,2581,Not available
2015-05-04,All countries,,,Suspected,8852,Not available
2015-05-04,All countries,,,Total,26339,10895
2015-05-05,Guinea,,3 May 2015,Confirmed,3167,1971
2015-05-05,Guinea,,3 May 2015,Probable,415,415
2015-05-05,Guinea,,3 May 2015,Suspected,7,Not available
2015-05-05,Guinea,,3 May 2015,Total,3589,2386
2015-05-05,Liberia,,30 April 2015,Confirmed,3151,Not available
2015-05-05,Liberia,,30 April 2015,Probable,1879,Not available
2015-05-05,Liberia,,30 April 2015,Suspected,5477,Not available
2015-05-05,Liberia,,30 April 2015,Total,10507,4691
2015-05-05,Sierra Leone,,3 May 2015,Confirmed,8595,3537
2015-05-05,Sierra Leone,,3 May 2015,Probable,287,208
2015-05-05,Sierra Leone,,3 May 2015,Suspected,3558,158
2015-05-05,Sierra Leone,,3 May 2015,Total,12440,3903
2015-05-05,All countries,,,Confirmed,14913,Not available
2015-05-05,All countries,,,Probable,2581,Not available
2015-05-05,All countries,,,Suspected,9042,Not available
2015-05-05,All countries,,,Total,26536,10980
2015-05-06,Guinea,3 May 2015,Confirmed,3167,50,1971
2015-05-06,Guinea,3 May 2015,Probable,415,Not reported.,415
2015-05-06,Guinea,3 May 2015,Suspected,7,Not reported.,Data not available.
2015-05-06,Guinea,3 May 2015,Total,3589,50,2386
2015-05-06,Liberia,3 May 2015,Confirmed,3151,0,Data not available.
2015-05-06,Liberia,3 May 2015,Probable,1879,Not reported.,Data not available.
2015-05-06,Liberia,3 May 2015,Suspected,5534,Not reported.,Data not available.
2015-05-06,Liberia,3 May 2015,Total,10564,0,4716
2015-05-06,Sierra Leone,3 May 2015,Confirmed,8595,32,3537
2015-05-06,Sierra Leone,3 May 2015,Probable,287,Not reported.,208
2015-05-06,Sierra Leone,3 May 2015,Suspected,3558,Not reported.,158
2015-05-06,Sierra Leone,3 May 2015,Total,12440,32,3903
2015-05-06,All countries,,Confirmed,14913,82,Data not available.
2015-05-06,All countries,,Probable,2581,Not reported.,Data not available.
2015-05-06,All countries,,Suspected,9099,Not reported.,Data not available.
2015-05-06,All countries,,Total,26593,82,11005
2015-05-07,Guinea,,5 May 2015,Confirmed,3170,1972
2015-05-07,Guinea,,5 May 2015,Probable,415,415
2015-05-07,Guinea,,5 May 2015,Suspected,7,Not available
2015-05-07,Guinea,,5 May 2015,Total,3592,2387
2015-05-07,Liberia,,3 May 2015,Confirmed,3151,Not available
2015-05-07,Liberia,,3 May 2015,Probable,1879,Not available
2015-05-07,Liberia,,3 May 2015,Suspected,5534,Not available
2015-05-07,Liberia,,3 May 2015,Total,10564,4716
2015-05-07,Sierra Leone,,5 May 2015,Confirmed,8597,3538
2015-05-07,Sierra Leone,,5 May 2015,Probable,287,208
2015-05-07,Sierra Leone,,5 May 2015,Suspected,3586,158
2015-05-07,Sierra Leone,,5 May 2015,Total,12470,3904
2015-05-07,All countries,,,Confirmed,14918,Not available
2015-05-07,All countries,,,Probable,2581,Not available
2015-05-07,All countries,,,Suspected,9127,Not available
2015-05-07,All countries,,,Total,26626,11007
2015-05-08,Guinea,,5 May 2015,Confirmed,3170,1972
2015-05-08,Guinea,,5 May 2015,Probable,415,415
2015-05-08,Guinea,,5 May 2015,Suspected,7,Not available
2015-05-08,Guinea,,5 May 2015,Total,3592,2387
2015-05-08,Liberia,,3 May 2015,Confirmed,3151,Not available
2015-05-08,Liberia,,3 May 2015,Probable,1879,Not available
2015-05-08,Liberia,,3 May 2015,Suspected,5534,Not available
2015-05-08,Liberia,,3 May 2015,Total,10564,4716
2015-05-08,Sierra Leone,,6 May 2015,Confirmed,8597,3538
2015-05-08,Sierra Leone,,6 May 2015,Probable,287,208
2015-05-08,Sierra Leone,,6 May 2015,Suspected,3608,158
2015-05-08,Sierra Leone,,6 May 2015,Total,12492,3904
2015-05-08,All countries,,,Confirmed,14918,Not available
2015-05-08,All countries,,,Probable,2581,Not available
2015-05-08,All countries,,,Suspected,9149,Not available
2015-05-08,All countries,,,Total,26648,11007
2015-05-11,Guinea,,9 May 2015,Confirmed,3173,1976
2015-05-11,Guinea,,9 May 2015,Probable,415,415
2015-05-11,Guinea,,9 May 2015,Suspected,11,Not available
2015-05-11,Guinea,,9 May 2015,Total,3599,2391
2015-05-11,Liberia,,5 May 2015,Confirmed,3151,Not available
2015-05-11,Liberia,,5 May 2015,Probable,1879,Not available
2015-05-11,Liberia,,5 May 2015,Suspected,5574,Not available
2015-05-11,Liberia,,5 May 2015,Total,10604,4769
2015-05-11,Sierra Leone,,9 May 2015,Confirmed,8597,3538
2015-05-11,Sierra Leone,,9 May 2015,Probable,287,208
2015-05-11,Sierra Leone,,9 May 2015,Suspected,3635,158
2015-05-11,Sierra Leone,,9 May 2015,Total,12519,3904
2015-05-11,All countries,,,Confirmed,14921,Not available
2015-05-11,All countries,,,Probable,2581,Not available
2015-05-11,All countries,,,Suspected,9220,Not available
2015-05-11,All countries,,,Total,26722,11064
2015-05-12,Guinea,,10 May 2015,Confirmed,3174,1977
2015-05-12,Guinea,,10 May 2015,Probable,415,415
2015-05-12,Guinea,,10 May 2015,Suspected,8,Not available
2015-05-12,Guinea,,10 May 2015,Total,3597,2392
2015-05-12,Liberia,,5 May 2015,Confirmed,3151,Not available
2015-05-12,Liberia,,5 May 2015,Probable,1879,Not available
2015-05-12,Liberia,,5 May 2015,Suspected,5574,Not available
2015-05-12,Liberia,,5 May 2015,Total,10604,4769
2015-05-12,Sierra Leone,,10 May 2015,Confirmed,8597,3538
2015-05-12,Sierra Leone,,10 May 2015,Probable,287,208
2015-05-12,Sierra Leone,,10 May 2015,Suspected,3639,158
2015-05-12,Sierra Leone,,10 May 2015,Total,12523,3904
2015-05-12,All countries,,,Confirmed,14922,Not available
2015-05-12,All countries,,,Probable,2581,Not available
2015-05-12,All countries,,,Suspected,9221,Not available
2015-05-12,All countries,,,Total,26724,11065
2015-05-13,Guinea,10 May 2015,Confirmed,3174,38,1977
2015-05-13,Guinea,10 May 2015,Probable,415,Not reported.,415
2015-05-13,Guinea,10 May 2015,Suspected,8,Not reported.,Data not available.
2015-05-13,Guinea,10 May 2015,Total,3597,38,2392
2015-05-13,Liberia,5 May 2015,Confirmed,3151,0,Data not available.
2015-05-13,Liberia,5 May 2015,Probable,1879,Not reported.,Data not available.
2015-05-13,Liberia,5 May 2015,Suspected,5574,Not reported.,Data not available.
2015-05-13,Liberia,5 May 2015,Total,10604,0,4769
2015-05-13,Sierra Leone,10 May 2015,Confirmed,8597,22,3538
2015-05-13,Sierra Leone,10 May 2015,Probable,287,Not reported.,208
2015-05-13,Sierra Leone,10 May 2015,Suspected,3639,Not reported.,158
2015-05-13,Sierra Leone,10 May 2015,Total,12523,22,3904
2015-05-13,All countries,,Confirmed,14922,60,Data not available.
2015-05-13,All countries,,Probable,2581,Not reported.,Data not available.
2015-05-13,All countries,,Suspected,9221,Not reported.,Data not available.
2015-05-13,All countries,,Total,26724,60,11065
2015-05-14,Guinea,,12 May 2015,Confirmed,3187,1980
2015-05-14,Guinea,,12 May 2015,Probable,419,419
2015-05-14,Guinea,,12 May 2015,Suspected,9,Not available
2015-05-14,Guinea,,12 May 2015,Total,3615,2399
2015-05-14,Liberia,,5 May 2015,Confirmed,3151,Not available
2015-05-14,Liberia,,5 May 2015,Probable,1879,Not available
2015-05-14,Liberia,,5 May 2015,Suspected,5574,Not available
2015-05-14,Liberia,,5 May 2015,Total,10604,4769
2015-05-14,Sierra Leone,,12 May 2015,Confirmed,8597,3538
2015-05-14,Sierra Leone,,12 May 2015,Probable,287,208
2015-05-14,Sierra Leone,,12 May 2015,Suspected,3652,158
2015-05-14,Sierra Leone,,12 May 2015,Total,12536,3904
2015-05-14,All countries,,,Confirmed,14935,Not available
2015-05-14,All countries,,,Probable,2585,Not available
2015-05-14,All countries,,,Suspected,9235,Not available
2015-05-14,All countries,,,Total,26755,11072
2015-05-15,Guinea,,13 May 2015,Confirmed,3189,1982
2015-05-15,Guinea,,13 May 2015,Probable,419,419
2015-05-15,Guinea,,13 May 2015,Suspected,11,Not available
2015-05-15,Guinea,,13 May 2015,Total,3619,2401
2015-05-15,Liberia,,5 May 2015,Confirmed,3151,Not available
2015-05-15,Liberia,,5 May 2015,Probable,1879,Not available
2015-05-15,Liberia,,5 May 2015,Suspected,5574,Not available
2015-05-15,Liberia,,5 May 2015,Total,10604,4769
2015-05-15,Sierra Leone,,13 May 2015,Confirmed,8598,3538
2015-05-15,Sierra Leone,,13 May 2015,Probable,287,208
2015-05-15,Sierra Leone,,13 May 2015,Suspected,3655,158
2015-05-15,Sierra Leone,,13 May 2015,Total,12540,3904
2015-05-15,All countries,,,Confirmed,14938,Not available
2015-05-15,All countries,,,Probable,2585,Not available
2015-05-15,All countries,,,Suspected,9240,Not available
2015-05-15,All countries,,,Total,26763,11074
2015-05-18,Guinea,,16 May 2015,Confirmed,3195,1986
2015-05-18,Guinea,,16 May 2015,Probable,419,419
2015-05-18,Guinea,,16 May 2015,Suspected,12,Not available
2015-05-18,Guinea,,16 May 2015,Total,3626,2405
2015-05-18,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-05-18,Liberia,,9 May 2015,Probable,1879,Not available
